User,id,name,backgroundImageLink,capabilities.canAddChildren,capabilities.canChangeCopyRequiresWriterPermissionRestriction,capabilities.canChangeDomainUsersOnlyRestriction,capabilities.canChangeDriveBackground,capabilities.canChangeDriveMembersOnlyRestriction,capabilities.canChangeSharingFoldersRequiresOrganizerPermissionRestriction,capabilities.canComment,capabilities.canCopy,capabilities.canDeleteChildren,capabilities.canDeleteDrive,capabilities.canDownload,capabilities.canEdit,capabilities.canListChildren,capabilities.canManageMembers,capabilities.canReadRevisions,capabilities.canRename,capabilities.canRenameDrive,capabilities.canResetDriveRestrictions,capabilities.canShare,capabilities.canTrashChildren,colorRgb,createdTime,hidden,orgUnit,orgUnitId,restrictions.adminManagedRestrictions,restrictions.copyRequiresWriterPermission,restrictions.domainUsersOnly,restrictions.driveMembersOnly,restrictions.sharingFoldersRequiresOrganizerPermission
it@catolocationservices.com.au,0AFuWC7l5cg_QUk9PVA,CATO,https://ssl.gstatic.com/team_drive_themes/table_background.jpg,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,#8d6e63,2020-07-23T06:42:43Z,False,/,028jkrat27w3juh,False,True,False,False,True
it@catolocationservices.com.au,0AKM4hwlJewWsUk9PVA,StreetSTRONG,https://lh3.googleusercontent.com/d/1X5Kmgj88NPF05lQUByV7jufJBeNjadeygg93j3M,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,#ef6c00,2020-07-22T01:09:56Z,False,/,028jkrat27w3juh,False,True,False,False,True
it@catolocationservices.com.au,0AK12-4vtcoMtUk9PVA,CATO External Shared,https://ssl.gstatic.com/team_drive_themes/blueprints_background.jpg,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,#4285f4,2022-02-04T03:55:43Z,False,/,028jkrat27w3juh,False,False,False,False,True
it@catolocationservices.com.au,0ALyfp54mDc-VUk9PVA,CATO Archive,https://ssl.gstatic.com/team_drive_themes/concert_background.jpg,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,#ef6c00,2021-08-29T23:54:36Z,False,/,028jkrat27w3juh,False,False,False,False,True
it@catolocationservices.com.au,0ANHafNWzOoLVUk9PVA,Admin Team,https://ssl.gstatic.com/team_drive_themes/blueprints_background.jpg,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,#4285f4,2021-12-22T04:21:43Z,False,/,028jkrat27w3juh,False,False,False,False,True
it@catolocationservices.com.au,0ACix40HDKhByUk9PVA,Administration,https://ssl.gstatic.com/team_drive_themes/mountains_background.jpg,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,#5c6bc0,2022-07-20T09:04:44Z,False,/,028jkrat27w3juh,False,False,False,False,True
it@catolocationservices.com.au,0AJFPy147ATiEUk9PVA,CATO - FINANCE ,https://lh3.googleusercontent.com/d/1iNZnYVj5OVQXK38m_DUvOCTNUEqbRybhWumTRwc,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,#689f38,2021-11-12T04:38:36Z,False,/,028jkrat27w3juh,False,False,False,False,True
it@catolocationservices.com.au,0AFaqd1ATnf8BUk9PVA,Honeywagons,https://lh3.googleusercontent.com/d/1-1sefdPjwfl3vcWaNqGwT_xGg4OlDxOztg1O89E,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,#607d8b,2020-07-22T08:48:53Z,False,/,028jkrat27w3juh,False,False,False,False,True
it@catolocationservices.com.au,0AGAdiJKXSpBmUk9PVA,CATO Clean,https://ssl.gstatic.com/team_drive_themes/donut_coffee_background.jpg,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,#f06292,2020-09-16T04:18:56Z,False,/,028jkrat27w3juh,False,False,False,False,True
it@catolocationservices.com.au,0AEblm4Ihx5PKUk9PVA,CATO GDrive,https://ssl.gstatic.com/team_drive_themes/roofing_metal_background.jpg,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,#039be5,2021-08-26T01:30:31Z,False,/,028jkrat27w3juh,False,False,False,False,True
it@catolocationservices.com.au,0AIXwHGOn0HKTUk9PVA,COVIDtest,https://ssl.gstatic.com/team_drive_themes/blueprints_background.jpg,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,#4285f4,2022-01-20T08:02:57Z,False,/,028jkrat27w3juh,False,False,False,False,True
it@catolocationservices.com.au,0ALAU0plO7Z7RUk9PVA,People & Culture - Team Folder,https://ssl.gstatic.com/team_drive_themes/concert_background.jpg,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,#ef6c00,2020-12-16T23:41:23Z,False,/,028jkrat27w3juh,False,False,False,False,True
it@catolocationservices.com.au,0AGkcEnJHvtrNUk9PVA,IT Team,https://ssl.gstatic.com/team_drive_themes/lighthouse_background.jpg,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,#4285f4,2022-01-17T21:48:53Z,False,/,028jkrat27w3juh,False,False,False,False,True
it@catolocationservices.com.au,0ANI42AMX5ca3Uk9PVA,Marketing Team,https://ssl.gstatic.com/team_drive_themes/abacus_background.jpg,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,#ea6100,2022-09-09T03:59:05Z,False,/,028jkrat27w3juh,False,False,False,False,True
